"product_id","date","sell_price","margin","sales"
"58fba35ac3591d27507b733ea4a6dc1c8b1c2cf04ddbbd6b3d4a4da3a3c8fd3c","2019-11-27",98.89,29.67,58
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2019-12-31",36.19,10.86,11
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-06-19",38.39,11.52,55
"42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c","2019-05-11",47.19,14.16,7
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2019-05-22",71.39,21.42,24
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-10-14",38.39,11.52,84
"42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c","2019-06-03",47.19,14.16,13
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2020-12-02",54.89,16.47,355
"58fba35ac3591d27507b733ea4a6dc1c8b1c2cf04ddbbd6b3d4a4da3a3c8fd3c","2019-11-01",98.89,29.67,37
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2020-08-08",71.39,21.42,39
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2019-07-29",71.39,21.42,22
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-02-21",38.39,11.52,21
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-09-19",38.39,11.52,70
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-11-27",38.39,11.52,111
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-11-20",24.09,7.23,1012
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-11-13",38.16,11.45,63
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2019-05-20",71.39,21.42,18
"58fba35ac3591d27507b733ea4a6dc1c8b1c2cf04ddbbd6b3d4a4da3a3c8fd3c","2019-06-09",98.89,29.67,57
"56154e85b0dacaa9d34e280f4470e0dd2db370c22d98ec775c7d2fd6827eba5c","2020-12-15",219.89,65.97,123
"42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c","2020-12-14",38.39,11.52,45
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2019-02-28",65.89,19.77,29
"56154e85b0dacaa9d34e280f4470e0dd2db370c22d98ec775c7d2fd6827eba5c","2020-07-30",219.89,65.97,117
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-11-24",38.39,11.52,63
"82b9ca49aa8b92fd1cf0963b52fb1734eda3232303c669d02f2537ecdcbd8314","2019-06-08",71.39,21.42,25
"42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c","2020-11-23",49.39,14.82,7
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2019-07-07",36.19,10.86,19
b2141f3341478ce4ee74781f7da95dcbc3ee6d9a5309659d5163026415e98bb9,"2020-06-13",38.39,11.52,44
"42586e958c1c38c359654b9f2e9384a3c76377619fed4d958949c0305e25b85c","2019-07-13",39.49,11.85,14
